timestamp,title,url,author,tags,thumbnail,name,claimed,mapClass
8/22/2015 13:24:09,Invasion of the Roman Empire,https://en.wikipedia.org/wiki/Germany#Germanic_tribes_and_Frankish_Empire,Germany,germany; roman empire; europe,https://upload.wikimedia.org/wikipedia/commons/2/2d/Invasions_of_the_Roman_Empire_1.png,,,InvasionoftheRomanEmpire
8/29/2015 13:25:31,"Isla de la Plata, Ecuador",https://en.wikipedia.org/wiki/Isla_de_la_Plata,Isla de la Plata,Ecuador; Isla de la Plata; Ecological Reserve; Manabí; Parque Nacional Machalilla,,,,"IsladelaPlata,Ecuador"
8/28/2015 17:05:27,Joaquin Miller Park,https://en.wikipedia.org/wiki/Joaquin_Miller_Park#Park,Joaquin Miller Park,Parks in Oakland; California; City of Oakland Parks and Recreation; no map,,,,JoaquinMillerPark
8/28/2015 16:59:09,Kalighat Kali Temple,https://en.wikipedia.org/wiki/Kalighat_Kali_Temple,Kalighat Kali Temple,india; temples; kolkata; landmarks; location maps; no map,,,,KalighatKaliTemple
8/29/2015 18:58:05,Kingston metro area,"https://en.wikipedia.org/wiki/Kingston,_Jamaica","Kingston, Jamaica",jamaica; kingston; city; no map,,,,Kingstonmetroarea
8/22/2015 15:33:55,Kuru Kingdom,https://en.wikipedia.org/wiki/Kuru_Kingdom,Kuru Kingdom,kuru; kingdom; india; asia,https://upload.wikimedia.org/wikipedia/commons/5/51/Late_Vedic_Culture_%281100-500_BCE%29.png,,,KuruKingdom
8/22/2015 17:59:07,Kvæfjord,https://en.wikipedia.org/wiki/Kv%C3%A6fjord,Kvæfjord,norway; europe; fjord,https://upload.wikimedia.org/wikipedia/commons/e/ed/Kv%C3%A6fjord_map.jpg,Philip Schall,Yes,Kvæfjord
8/28/2015 18:55:27,La Garita Wilderness,https://en.wikipedia.org/wiki/La_Garita_Wilderness,La Garita Wilderness,national park; usa; no map,,,,LaGaritaWilderness
8/28/2015 19:07:46,Lagos,https://en.wikipedia.org/wiki/Lagos,Lagos,nigeria; africa; city; no map,,,,Lagos
8/22/2015 14:26:28,Lahore Marathon,https://en.wikipedia.org/wiki/Lahore_Marathon,Lahore Marathon,marathon; pakistan; middle east; no map,,,,LahoreMarathon
8/28/2015 21:04:45,Lime Kiln State Park,https://en.wikipedia.org/wiki/Lime_Kiln_Point_State_Park,Lime Kiln State Park,Lime Kiln State Park; no map,,,,LimeKilnStatePark
8/22/2015 18:08:01,List of county courthouses in South Carolina,https://en.wikipedia.org/wiki/List_of_county_courthouses_in_South_Carolina,List of county courthouses in South Carolina,courthouse; south carolina; usa; north america; no map,,,,ListofcountycourthousesinSouthCarolina
